Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Yamhill,2045,0,33.72949888,0.403125
Baker,2050,0,12.77842469,0.128125
Benton,2050,32.97831175,0.632658591,0.2625
Clackamas,2050,96.27867778,19.01613765,0.428125
Clatsop,2050,0,37.56412431,0.0953125
Columbia,2050,0,25.77936944,0.2265625
Coos,2050,0,34.90395367,0.221875
Crook,2050,0,16.85631503,0.0609375
Curry,2050,0,25.25407153,0.1234375
Deschutes,2050,37.36473939,29.35429533,0.25625
Douglas,2050,0,50.1700116,0.2828125
Gilliam,2050,0,5.718928465,0.003125
Grant,2050,0,11.68063009,0.01875
Harney,2050,0,6.954191545,0.2640625
Hood River,2050,0,9.25330743,0.2765625
Jackson,2050,48.52351714,4.272019456,0.409375
Jefferson,2050,0,8.563485448,0.3140625
Josephine,2050,18.7131682,3.060086323,0.23125
Klamath,2050,0,41.43673697,0.0875
Lake,2050,0,6.541118982,0.1
Lane,2050,79.6337024,34.13501313,0.25625
Lincoln,2050,0,33.11162843,0.1796875
Linn,2050,29.80132173,27.84185411,0.1609375
Malheur,2050,0,16.84583692,0.1234375
Marion,2050,64.58406499,28.90320876,0.309375
Morrow,2050,0,12.55592815,0.2015625
Multnomah,2050,165.0921474,0,0.221875
Polk,2050,8.2125,17.91453835,0.2390625
Sherman,2050,0,3.417579099,0.0046875
Tillamook,2050,0,12.14693453,0.0640625
Umatilla,2050,0,59.21764563,0.1609375
Union,2050,0,13.50585951,0.3265625
Wallowa,2050,0,4.23350803,0.0609375
Wasco,2050,0,13.7100506,0.340625
Washington,2050,124.4229673,3.351830464,0.50625
Wheeler,2050,0,1.524228351,0.0015625
Yamhill,2050,0,34.61477563,0.403125
